Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-11-24,312,315.4,311.75,314.8,"14,775,900",0,1,42.206496195225,42.666438781968,42.172676887376,42.585272443131,"103,431,300"
2010-11-23,310.45,311.75,306.56,308.73,"18,551,700",0,1,41.996816486563,42.172676887376,41.470588056436,41.764139648563,"129,861,900"
2010-11-22,306.68,313.36,305.87,313.36,"14,038,400",0,1,41.486821324204,42.390473229922,41.377246766774,42.390473229922,"98,268,800"
2010-11-19,307.97,308.4,305.24,306.73,"13,744,400",0,1,41.661328952703,41.719498162203,41.292022110995,41.493585185774,"96,210,800"
2010-11-18,305.2,309.67,304.69,308.43,"17,660,400",0,1,41.286611021739,41.891300246075,41.217619633728,41.723556479145,"123,622,800"
2010-11-17,301.2,303.99,297.76,300.5,"17,123,200",0,1,40.745502096159,41.122925571751,40.280148420161,40.650808034183,"119,862,400"
2010-11-16,305.72,307.6,299.32,301.59,"23,487,500",0,1,41.356955182065,41.611276377087,40.491180901137,40.798260216403,"164,412,500"
2010-11-15,308.46,310.54,306.27,307.04,"14,414,500",0,1,41.727614796087,42.008991437388,41.431357659332,41.535521127506,"100,901,500"
2010-11-12,316,316.5,303.63,308.03,"28,423,100",0,1,42.747605120805,42.815243736502,41.074225768449,41.669445586587,"198,961,700"
2010-11-11,315,318.4,314.25,316.65,"12,903,000",0,1,42.61232788941,43.072270476153,42.510869965864,42.835535321211,"90,321,000"
2010-11-10,316.64,318.77,313.55,318.03,"13,722,400",0,1,42.834182548897,43.122323051769,42.416175903887,43.022217900536,"96,056,800"
2010-11-09,321.05,321.3,314.5,316.08,"13,698,000",0,1,43.430755139349,43.464574447198,42.544689273712,42.758427299316,"95,886,000"
2010-11-08,317.2,319.77,316.76,318.62,"10,062,800",0,1,42.909937798479,43.257600283164,42.850415816665,43.102031467059,"70,439,600"
